Seed,Task,Model,Popsize,Generations,Mutation_rate,Selection_strength,adaptation_rate,richness,variance
2,109,Equal,75000,3e+05,1e-05,0.1,0.00626186666666667,21.2272727272727,9.23827331683168
2,110,Equal,1e+05,4e+05,1e-05,0.1,0.0061596,24.8181818181818,12.1016662376238
2,111,Equal,500,2000,1e-05,0.1,0.001242,1.63636363636364,0.0606191881188119
2,112,Equal,1000,4000,1e-05,0.1,0.0029585,2.40909090909091,0.267252772277228
2,113,Equal,2500,10000,1e-05,0.1,0.0024176,3.09090909090909,0.322757755247525
2,114,Equal,5000,20000,1e-05,0.1,0.0044336,4.31818181818182,0.672726757425743
2,115,Equal,7500,30000,1e-05,0.1,0.0048118,5.40909090909091,0.916055331683168
2,116,Equal,10000,40000,1e-05,0.1,0.00503575,6.5,1.10747747029703
2,117,Equal,25000,1e+05,1e-05,0.1,0.00574964,10.9545454545455,2.98887107425743
2,118,Equal,50000,2e+05,1e-05,0.1,0.0062972,17.0454545454545,6.34914876237624
2,119,Equal,75000,3e+05,1e-05,0.1,0.00619473333333333,21.4545454545455,9.25506797029703
2,120,Equal,1e+05,4e+05,1e-05,0.1,0.00628735,26.5454545454546,12.423796039604
2,121,Equal,500,2000,1e-05,0.1,0.002,1.72727272727273,0.236881326732673
2,122,Equal,1000,4000,1e-05,0.1,5e-04,1.36363636363636,0.0685437128712871
2,123,Equal,2500,10000,1e-05,0.1,0.0034032,3.18181818181818,0.336359006732673
2,124,Equal,5000,20000,1e-05,0.1,0.0043614,4.72727272727273,0.661202688118812
2,125,Equal,7500,30000,1e-05,0.1,0.0053318,5.63636363636364,1.01335206435644
2,126,Equal,10000,40000,1e-05,0.1,0.005212,6.31818181818182,1.22396368811881
2,127,Equal,25000,1e+05,1e-05,0.1,0.00589302,11.0454545454545,3.07239801980198
2,128,Equal,50000,2e+05,1e-05,0.1,0.0060829,17.2272727272727,6.08119544554455
2,129,Equal,75000,3e+05,1e-05,0.1,0.00619473333333333,20.5909090909091,9.49377712871287
2,130,Equal,1e+05,4e+05,1e-05,0.1,0.00633335,25.4090909090909,12.4446098514852
2,131,Equal,500,2000,1e-05,0.1,0,1,0
2,132,Equal,1000,4000,1e-05,0.1,0.001481,1.81818181818182,0.150827420792079
2,133,Equal,2500,10000,1e-05,0.1,0.003285,3.18181818181818,0.40373016019802
2,134,Equal,5000,20000,1e-05,0.1,0.0050107,4.90909090909091,0.737511158415842
2,135,Equal,7500,30000,1e-05,0.1,0.00535766666666667,6.22727272727273,1.07804877722772
2,136,Equal,10000,40000,1e-05,0.1,0.00496405,5.90909090909091,1.17713025247525
2,137,Equal,25000,1e+05,1e-05,0.1,0.0060752,10.6818181818182,3.12479272277228
2,138,Equal,50000,2e+05,1e-05,0.1,0.0061095,16,6.03501495049505
2,139,Equal,75000,3e+05,1e-05,0.1,0.0062766,22.4090909090909,9.28937079207921
2,140,Equal,1e+05,4e+05,1e-05,0.1,0.00627985,25.1818181818182,12.8058105940594
